抽せん日,本数字,回別,ストレート,ボックス,セット(ストレート),セット(ボックス),ミニ
1996-01-05,"[9, 5, 2]",第117回,,,,,
1996-01-09,"[6, 3, 5]",第118回,,,,,
1996-01-12,"[9, 5, 2]",第119回,,,,,
1996-01-16,"[6, 5, 0]",第120回,,,,,
1996-01-19,"[4, 3, 9]",第121回,,,,,
1996-01-23,"[4, 5, 8]",第122回,,,,,
1996-01-26,"[5, 1, 3]",第123回,,,,,
1996-01-30,"[8, 6, 3]",第124回,,,,,
1996-02-02,"[4, 0, 9]",第125回,,,,,
1996-02-06,"[3, 1, 8]",第126回,,,,,
1996-02-09,"[2, 1, 7]",第127回,,,,,
1996-02-13,"[8, 5, 5]",第128回,,,,,
1996-02-16,"[6, 2, 0]",第129回,,,,,
1996-02-20,"[5, 5, 9]",第130回,,,,,
1996-02-23,"[8, 2, 0]",第131回,,,,,
1996-02-27,"[0, 1, 6]",第132回,,,,,
1996-03-01,"[9, 2, 6]",第133回,,,,,
1996-03-05,"[6, 0, 3]",第134回,,,,,
1996-03-08,"[4, 5, 4]",第135回,,,,,
1996-03-12,"[2, 9, 5]",第136回,,,,,
1996-03-15,"[8, 1, 9]",第137回,,,,,
1996-03-19,"[9, 9, 5]",第138回,,,,,
1996-03-22,"[3, 5, 6]",第139回,,,,,
1996-03-26,"[0, 5, 4]",第140回,,,,,
1996-03-29,"[7, 8, 3]",第141回,,,,,
1996-04-02,"[0, 7, 7]",第142回,,,,,
1996-04-05,"[6, 9, 4]",第143回,,,,,
1996-04-09,"[5, 9, 4]",第144回,,,,,
1996-04-12,"[1, 2, 5]",第145回,,,,,
1996-04-16,"[7, 6, 6]",第146回,,,,,
1996-04-19,"[4, 6, 4]",第147回,,,,,
1996-04-23,"[4, 8, 9]",第148回,,,,,
1996-04-26,"[0, 0, 3]",第149回,,,,,
1996-04-30,"[5, 3, 8]",第150回,,,,,
1996-05-03,"[3, 3, 2]",第151回,,,,,
1996-05-07,"[2, 2, 4]",第152回,,,,,
1996-05-10,"[7, 5, 0]",第153回,,,,,
1996-05-14,"[7, 9, 1]",第154回,,,,,
1996-05-17,"[1, 2, 6]",第155回,,,,,
1996-05-21,"[9, 9, 1]",第156回,,,,,
1996-05-24,"[5, 7, 0]",第157回,,,,,
1996-05-28,"[6, 0, 4]",第158回,,,,,
1996-05-31,"[2, 5, 9]",第159回,,,,,
1996-06-04,"[8, 3, 9]",第160回,,,,,
1996-06-07,"[2, 8, 4]",第161回,,,,,
1996-06-11,"[5, 1, 6]",第162回,,,,,
1996-06-14,"[6, 4, 8]",第163回,,,,,
1996-06-18,"[1, 9, 8]",第164回,,,,,
1996-06-21,"[5, 6, 3]",第165回,,,,,
1996-06-25,"[3, 3, 1]",第166回,,,,,
1996-06-28,"[2, 3, 3]",第167回,,,,,
1996-07-02,"[1, 0, 7]",第168回,,,,,
1996-07-05,"[3, 5, 1]",第169回,,,,,
1996-07-09,"[5, 7, 4]",第170回,,,,,
1996-07-12,"[6, 7, 9]",第171回,,,,,
1996-07-16,"[3, 5, 5]",第172回,,,,,
1996-07-19,"[5, 8, 1]",第173回,,,,,
1996-07-23,"[9, 6, 7]",第174回,,,,,
1996-07-26,"[6, 8, 3]",第175回,,,,,
1996-07-30,"[2, 0, 3]",第176回,,,,,
1996-08-02,"[8, 4, 5]",第177回,,,,,
1996-08-06,"[4, 6, 4]",第178回,,,,,
1996-08-09,"[1, 6, 8]",第179回,,,,,
1996-08-13,"[6, 3, 2]",第180回,,,,,
1996-08-16,"[8, 9, 0]",第181回,,,,,
1996-08-20,"[4, 3, 9]",第182回,,,,,
1996-08-23,"[5, 8, 9]",第183回,,,,,
1996-08-27,"[4, 9, 2]",第184回,,,,,
